1,7,,,,,
3,0,0,14.007077,14.184923,0,0
3,6,0,11.862769,37.828308,0,0
3,5,0,12.18,59.685844,0,0
3,1,0,12.089231,81.854156,0,0
3,6,1,9.950769,10.062769,0,0
3,1,1,9.883385,29.580616,0,0
3,3,0,12.217846,50.465538,0,0
3,5,1,9.916924,70.720612,0,0
3,0,1,10.016615,89.33046,0,0
3,0,2,9.941539,10.094153,0,0
3,1,2,9.999385,29.257538,0,0
3,2,0,12.172923,51.124001,0,0
3,3,1,10.064923,70.623695,0,0
3,6,2,10.032616,90.765846,0,0
3,5,2,10.036615,10.283384,0,0
3,2,1,10.016923,30.475384,0,0
3,1,3,10.096923,49.963383,0,0
3,0,3,10.04,70.17569,0,0
3,6,3,10.079692,89.764618,0,0
3,4,0,12.128615,12.248307,0,0
3,1,4,10.038154,32.068924,0,0
3,3,2,10.036923,52.056923,0,0
3,6,4,10.074462,71.81723,0,0
3,0,4,9.980308,91.855385,0,0
3,5,3,10.028,10.273847,0,0
3,2,2,9.987385,30.169538,0,0
3,3,3,10.072923,49.646461,0,0
3,0,5,10.043077,69.978157,0,0
3,1,5,10.074462,89.665535,0,0
3,1,6,9.915692,10.02677,0,0
3,4,1,10.056923,29.187077,0,0
3,2,3,10.035692,49.164307,0,0
3,6,5,10.074769,68.932617,0,0
3,0,6,9.978154,89.186157,0,0
3,2,4,9.987692,10.131385,0,0
3,4,2,9.953231,29.697845,0,0
3,3,4,10.128,49.116306,0,0
3,6,6,9.987077,69.203384,0,0
3,5,4,10.074769,88.467384,0,0
3,3,5,9.915692,10.060308,0,0
3,1,7,10.092923,28.979076,0,0
3,6,7,9.978154,49.243076,0,0
3,2,5,10.072308,68.851074,0,0
3,0,7,9.977231,88.730156,0,0
3,0,8,9.987692,10.131385,0,0
3,1,8,10.010769,29.779078,0,0
3,6,8,10.074769,49.223076,0,0
3,4,3,9.98677,69.483696,0,0
3,3,6,10.074769,88.906769,0,0
3,2,6,9.918154,10.062462,0,0
3,1,9,10.094461,29.123384,0,0
